Item Name,Description
Cascais Bonsai Planter,"A modern minimalist bonsai planter that pairs an outer shell with a separate insert — practical to use, clean to look at. 3D printed to order in your choice of colour. Designed by h3li0."
Sagres Bonsai Planter,"A modern minimalist bonsai planter built from an outer shell and a separate insert, balancing everyday practicality with a clean profile. 3D printed to order in your choice of colour. Designed by h3li0."
Zephyr Planter,"A modern minimalist bonsai planter with a clean, understated profile. 3D printed to order in your choice of colour. Designed by h3li0."
Seia Planter,"A lattice outer shell pairs with an inner insert for a two-tone look and easier handling. 3D printed to order in your choice of colour. Designed by h3li0."
Maia Planter,"An inner insert sits within a lattice outer shell, giving a two-tone finish and making the planter easier to handle. 3D printed to order in your choice of colour. Designed by h3li0."
Beja Planters,"Geometric lattice outer shells paired with a classic planter insert — practical to handle, and better looking for it. Available in two versions. 3D printed to order in your choice of colour. Designed by h3li0."
Taveiro Planter,"A low-profile modern minimalist planter, finished with a screw-in drip plate. 3D printed to order in your choice of colour. Designed by h3li0."
Alvao Planter,"A modern minimalist planter with a screw-in petal-shaped drip plate. 3D printed to order in your choice of colour. Designed by h3li0."
Alvao Orchid Planter,"An orchid version of the Alvao Planter, with a screw-in petal-shaped drip plate that lets air reach the roots. 3D printed to order in your choice of colour. Designed by h3li0."
Viseu Planter,"A modern minimalist planter in a clean patterned finish, with a screw-in classical-shaped drip plate. 3D printed to order in your choice of colour. Designed by h3li0."
Odemira Planter,"A minimalist planter with a modern profile and a screw-in slotted drip plate. A natural companion to the Odemira Vase. 3D printed to order in your choice of colour. Designed by h3li0."
Braga Planter,"A modern minimalist planter with intricate surface patterning and a screw-in drip plate. 3D printed to order in your choice of colour. Designed by h3li0."
Salir Planter,"A modern minimalist planter with clean, understated lines. 3D printed to order in your choice of colour. Designed by h3li0."
Troia Planter,"A modern minimalist planter whose surface patterning gives it an earthy, tactile character. 3D printed to order in your choice of colour. Designed by h3li0."
Leiria Planter,"A modern minimalist planter with clean, simple lines. 3D printed to order in your choice of colour. Designed by h3li0."
Nisa Planter,"A modern minimalist planter where clean lines meet texture. Available in two versions. 3D printed to order in your choice of colour. Designed by h3li0."
Vector Planter,"A modern minimalist planter with geometric pattern accents, designed for contemporary spaces. 3D printed to order in your choice of colour. Designed by h3li0."
Zenith Planter,"An elegant modern minimalist planter with a wrap-around plate, designed for contemporary spaces. 3D printed to order in your choice of colour. Designed by h3li0."
Adrift Planter,"A new take on the signature drift pattern, reimagined in a more classic planter form — fluid and organic in character. 3D printed to order in your choice of colour. Designed by h3li0."
Blaze Planter,"An elegant modern planter with a clean geometric silhouette and a wrap-around plate, made for contemporary spaces. 3D printed to order in your choice of colour. Designed by h3li0."
Dusk Planter,"An elegant modern minimalist planter that sits elevated on its drip plate. 3D printed to order in your choice of colour. Designed by h3li0."
Inova Planter,"A modern minimalist planter with patterned detailing, raised on a wrap-around drip plate. 3D printed to order in your choice of colour. Designed by h3li0."
Spectrum Planter,"A patterned modern planter finished with a screw-in plate for drainage. 3D printed to order in your choice of colour. Designed by h3li0."
Shift Planter,"A sleek modern planter that sits on its drip plate — clean lines and a minimalist profile, with drainage built in. 3D printed to order in your choice of colour. Designed by h3li0."
Velar Planter,"A modern minimalist planter raised on a drip plate, keeping the surface beneath it clean. 3D printed to order in your choice of colour. Designed by h3li0."
Echo Orchid Planter,"A modern minimalist orchid planter designed for airflow, sitting elevated on a wrap-around plate. 3D printed to order in your choice of colour. Designed by h3li0."
Quasar Orchid Planter,"An orchid planter built for airflow to the roots, raised on a wrap-around plate. 3D printed to order in your choice of colour. Designed by h3li0."
Polygon Orchid Planter,"An orchid planter with an open form that keeps air moving around the roots, raised on a wrap-around plate. 3D printed to order in your choice of colour. Designed by h3li0."
Mirage Orchid Planter,"An orchid planter designed for airflow, sitting elevated on a wrap-around plate. 3D printed to order in your choice of colour. Designed by h3li0."
Glowtide,"A modern minimalist planter elevated on a drip tray. 3D printed to order in your choice of colour. Designed by h3li0."
Havenis Planter,"A sleek modern planter that sits on its drip plate for easy maintenance, with clean lines that suit most rooms. 3D printed to order in your choice of colour. Designed by h3li0."
Zyra Planter,"Patterned modern minimalist design, elevated on a matching patterned plate. 3D printed to order in your choice of colour. Designed by h3li0."
Oblique Planter,"A modern minimalist planter that stands elevated on a matching drip plate. 3D printed to order in your choice of colour. Designed by h3li0."
Echoic Planter,"Patterned modern minimalist design on a matching patterned plate. Available in dual-colour or single-colour. 3D printed to order in your choice of colour. Designed by h3li0."
Qube Planter,"A clean-lined modern planter elevated on its own drip plate. 3D printed to order in your choice of colour. Designed by h3li0."
Stratum Planter,"A patterned modern minimalist planter, elevated on a drip plate. 3D printed to order in your choice of colour. Designed by h3li0."
Fusion Planter,"A modern minimalist planter that sits raised on a drip plate. 3D printed to order in your choice of colour. Designed by h3li0."
Arcane Planter,"A patterned modern minimalist planter raised on a wrap-around drip plate. 3D printed to order in your choice of colour. Designed by h3li0."
Axon Planter,"A modern minimalist planter raised on a drip tray. Available in dual-colour or single-colour. 3D printed to order in your choice of colour. Designed by h3li0."
Stryde Planter,"Patterned modern design, elevated on a wrap-around drip plate. 3D printed to order in your choice of colour. Designed by h3li0."
Echelon Planter,"A clean modern planter that sits on a drip tray. Available in dual-colour or single-colour. 3D printed to order in your choice of colour. Designed by h3li0."
Delta Planter,"A patterned modern planter that sits elevated on its drip plate. 3D printed to order in your choice of colour. Designed by h3li0."
Kairo Planter,"Modern minimalist form with patterned detailing, raised on a drip plate. 3D printed to order in your choice of colour. Designed by h3li0."
Sonar Planter,"A modern minimalist planter elevated on a matching drip plate. 3D printed to order in your choice of colour. Designed by h3li0."
Quartz Planter,"A clean modern planter raised on a drip plate. 3D printed to order in your choice of colour. Designed by h3li0."
Halo Planter,"A modern minimalist planter with a ribbed surface, elevated on a drip plate. 3D printed to order in your choice of colour. Designed by h3li0."
Vortex Planter,"Patterned modern minimalist design, raised on a drip plate. 3D printed to order in your choice of colour. Designed by h3li0."
Kinetic Planter,"A patterned modern planter elevated on a drip plate, with two plate styles to choose from. 3D printed to order in your choice of colour. Designed by h3li0."
Cuore Planter,"A Valentine's-themed planter with a modern minimalist form. 3D printed to order in your choice of colour. Designed by h3li0."
Loft Planter,"A modern minimalist planter with a twist-lock fitting — hang it on the wall, or stand it on the table drip plate. 3D printed to order in your choice of colour. Designed by h3li0."
Terra Planter,"A slot-shaped modern planter with patterned detailing, elevated on its plate. 3D printed to order in your choice of colour. Designed by h3li0."
Polygon Planter,"A faceted modern planter, redesigned to sit raised above its plate for easier placing. 3D printed to order in your choice of colour. Designed by h3li0."
